"subj" "group" "sent" "pos" "condfill" "raw" "wl" "NminusOne" "res"
"316" "s53" "gp4" "sent49" "pos7" "J" 336 6 1803 -170.9027874
"317" "s53" "gp4" "sent66" "pos7" "J" 1201 6 1068 -46.274759
"318" "s53" "gp4" "sent71" "pos7" "J" 493 13 1224 -362.3038423
"319" "s54" "gp4" "sent7" "pos7" "J" 2252 4 3788 251.6746426
"320" "s54" "gp4" "sent17" "pos7" "J" 787 7 4821 -160.4830238
"321" "s54" "gp4" "sent38" "pos7" "J" 573 3 3574 200.6494703
"322" "s54" "gp4" "sent49" "pos7" "J" 917 6 3598 -146.4407597
"323" "s54" "gp4" "sent66" "pos7" "J" 1097 6 2534 -156.0911541
"324" "s54" "gp4" "sent71" "pos7" "J" 985 13 3065 -403.347808
"325" "s55" "gp4" "sent7" "pos7" "J" 880 4 4815 140.302248
"326" "s55" "gp4" "sent17" "pos7" "J" 975 7 2329 -381.3701739
"327" "s55" "gp4" "sent38" "pos7" "J" 838 3 2689 -234.1808718
"328" "s55" "gp4" "sent49" "pos7" "J" 1059 6 2076 -559.3469572
"329" "s55" "gp4" "sent66" "pos7" "J" 743 6 2995 101.1110749
"330" "s55" "gp4" "sent71" "pos7" "J" 724 13 1922 301.4608498
"331" "s1" "gp1" "sent7" "pos4" "K" 416 4 324 572.6864816
"332" "s1" "gp1" "sent17" "pos4" "K" 527 7 738 -207.1544265
"333" "s1" "gp1" "sent38" "pos4" "K" 321 3 603 -170.6492694
"334" "s1" "gp1" "sent49" "pos4" "K" 1087 6 741 -473.8439619
"335" "s1" "gp1" "sent66" "pos4" "K" 411 6 501 -340.5951031
"336" "s1" "gp1" "sent71" "pos4" "K" 465 13 464 -139.1694919
"337" "s2" "gp1" "sent7" "pos4" "K" 657 4 683 1740.0881505
"338" "s2" "gp1" "sent17" "pos4" "K" 480 7 396 705.5906194
"339" "s2" "gp1" "sent38" "pos4" "K" 661 3 421 -236.6863074
"340" "s2" "gp1" "sent49" "pos4" "K" 426 6 743 -537.7952655
"341" "s2" "gp1" "sent66" "pos4" "K" 454 6 1609 -326.424446
"342" "s2" "gp1" "sent71" "pos4" "K" 434 13 379 -136.1324539
"343" "s3" "gp1" "sent7" "pos4" "K" 632 4 908 70.2682684
"344" "s3" "gp1" "sent17" "pos4" "K" 608 7 545 82.2897548
"345" "s3" "gp1" "sent38" "pos4" "K" 3291 3 852 401.2576509
"346" "s3" "gp1" "sent49" "pos4" "K" 816 6 889 -144.6356715
