ID	exp	item	condition	CL 	BEI	aligned.position	region	correct	RT
10	e5	4	a	noCL	noBEI	?	?	1	1041
10	e5	8	a	noCL	noBEI	0	0	-	514
10	e5	8	a	noCL	noBEI	1	1	-	434
10	e5	8	a	noCL	noBEI	2	2	-	355
10	e5	8	a	noCL	noBEI	3	3	-	418
10	e5	8	a	noCL	noBEI	4	4	-	482
10	e5	8	a	noCL	noBEI	5	5	-	426
10	e5	8	a	noCL	noBEI	6	6	-	458
10	e5	8	a	noCL	noBEI	?	?	1	1367
10	e5	12	a	noCL	noBEI	0	0	-	474
10	e5	12	a	noCL	noBEI	1	1	-	466
10	e5	12	a	noCL	noBEI	2	2	-	402
10	e5	12	a	noCL	noBEI	3	3	-	378
10	e5	12	a	noCL	noBEI	4	4	-	442
10	e5	12	a	noCL	noBEI	5	5	-	386
10	e5	12	a	noCL	noBEI	6	6	-	434
10	e5	12	a	noCL	noBEI	?	?	1	1399
10	e5	16	a	noCL	noBEI	0	0	-	665
10	e5	16	a	noCL	noBEI	1	1	-	530
10	e5	16	a	noCL	noBEI	2	2	-	609
10	e5	16	a	noCL	noBEI	3	3	-	530
10	e5	16	a	noCL	noBEI	4	4	-	673
10	e5	16	a	noCL	noBEI	5	5	-	570
10	e5	16	a	noCL	noBEI	6	6	-	1381
10	e5	16	a	noCL	noBEI	?	?	1	2816
10	e5	20	a	noCL	noBEI	0	0	-	450
10	e5	20	a	noCL	noBEI	1	1	-	625
10	e5	20	a	noCL	noBEI	2	2	-	482
10	e5	20	a	noCL	noBEI	3	3	-	546
10	e5	20	a	noCL	noBEI	4	4	-	474
10	e5	20	a	noCL	noBEI	5	5	-	378
10	e5	20	a	noCL	noBEI	6	6	-	418
10	e5	20	a	noCL	noBEI	?	?	1	1153
10	e5	24	a	noCL	noBEI	0	0	-	482
10	e5	24	a	noCL	noBEI	1	1	-	562
10	e5	24	a	noCL	noBEI	2	2	-	490
10	e5	24	a	noCL	noBEI	3	3	-	458
10	e5	24	a	noCL	noBEI	4	4	-	577
10	e5	24	a	noCL	noBEI	5	5	-	529
10	e5	24	a	noCL	noBEI	6	6	-	530
10	e5	24	a	noCL	noBEI	?	?	1	1145
11	e5	3	a	noCL	noBEI	0	0	-	594
11	e5	3	a	noCL	noBEI	1	1	-	434
11	e5	3	a	noCL	noBEI	2	2	-	378
11	e5	3	a	noCL	noBEI	3	3	-	307
11	e5	3	a	noCL	noBEI	4	4	-	378
11	e5	3	a	noCL	noBEI	5	5	-	378
11	e5	3	a	noCL	noBEI	6	6	-	561
11	e5	3	a	noCL	noBEI	?	?	1	1590
11	e5	7	a	noCL	noBEI	0	0	-	681
11	e5	7	a	noCL	noBEI	1	1	-	689
11	e5	7	a	noCL	noBEI	2	2	-	506
11	e5	7	a	noCL	noBEI	3	3	-	729
11	e5	7	a	noCL	noBEI	4	4	-	633
11	e5	7	a	noCL	noBEI	5	5	-	983
11	e5	7	a	noCL	noBEI	6	6	-	1755
11	e5	7	a	noCL	noBEI	?	?	1	1423
11	e5	11	a	noCL	noBEI	0	0	-	490
11	e5	11	a	noCL	noBEI	1	1	-	538
11	e5	11	a	noCL	noBEI	2	2	-	769
11	e5	11	a	noCL	noBEI	3	3	-	602
11	e5	11	a	noCL	noBEI	4	4	-	1365
11	e5	11	a	noCL	noBEI	5	5	-	466
11	e5	11	a	noCL	noBEI	6	6	-	530
11	e5	11	a	noCL	noBEI	?	?	0	2388
11	e5	15	a	noCL	noBEI	0	0	-	363
11	e5	15	a	noCL	noBEI	1	1	-	307
11	e5	15	a	noCL	noBEI	2	2	-	244
11	e5	15	a	noCL	noBEI	3	3	-	291
11	e5	15	a	noCL	noBEI	4	4	-	378
11	e5	15	a	noCL	noBEI	5	5	-	371
11	e5	15	a	noCL	noBEI	6	6	-	299
11	e5	15	a	noCL	noBEI	?	?	1	1646
11	e5	19	a	noCL	noBEI	0	0	-	347
11	e5	19	a	noCL	noBEI	1	1	-	338
11	e5	19	a	noCL	noBEI	2	2	-	235
11	e5	19	a	noCL	noBEI	3	3	-	331
11	e5	19	a	noCL	noBEI	4	4	-	211
11	e5	19	a	noCL	noBEI	5	5	-	553
11	e5	19	a	noCL	noBEI	6	6	-	1381
11	e5	19	a	noCL	noBEI	?	?	1	1574
11	e5	23	a	noCL	noBEI	0	0	-	355
11	e5	23	a	noCL	noBEI	1	1	-	339
11	e5	23	a	noCL	noBEI	2	2	-	569
11	e5	23	a	noCL	noBEI	3	3	-	347
